"Country or Area","Year","Value"
"Austria","2005","54.7999992370605"
"Austria","2004","54.9000015258789"
"Austria","2003","56.7000007629395"
"Austria","2002","54.2000007629395"
"Austria","2001","56.0999984741211"
"Austria","2000","56"
"Austria","1999","56"
"Austria","1998","55.5999984741211"
"Austria","1997","55.7999992370605"
"Austria","1996","55.7999992370605"
"Austria","1995","56.5999984741211"
"Austria","1994","56.4000015258789"
"Austria","1993","54.7000007629395"
"Austria","1992","54.9000015258789"
"Austria","1991","54.2000007629395"
"Belgium","2005","47.5999984741211"
"Belgium","2004","47.7999992370605"
"Belgium","2003","47.2000007629395"
"Belgium","2002","47.5"
"Belgium","2001","47.5999984741211"
"Belgium","2000","48.7000007629395"
"Belgium","1999","47.2999992370605"
"Belgium","1998","45.9000015258789"
"Belgium","1997","45.7999992370605"
"Belgium","1996","45.5"
"Belgium","1995","45.7000007629395"
"Belgium","1994","45.2999992370605"
"Belgium","1993","45.5"
"Belgium","1992","46.0999984741211"
"Belgium","1991","45.7000007629395"
"Canada","2005","61.7999992370605"
"Canada","2004","61.5"
"Canada","2003","61.7999992370605"
"Canada","2002","61.2000007629395"
"Canada","2001","60.7000007629395"
"Canada","2000","60.9000015258789"
"Canada","1999","60.0999984741211"
"Canada","1998","59.2999992370605"
"Canada","1997","58.5"
"Canada","1996","58"
"Canada","1995","58.2999992370605"
"Canada","1994","58"
"Canada","1993","57.5999984741211"
"Canada","1992","58"
"Canada","1991","59.4000015258789"
"Czech Republic","2005","54.9000015258789"
"Czech Republic","2004","54.7000007629395"
"Czech Republic","2003","54.9000015258789"
"Czech Republic","2002","55.5"
"Czech Republic","2001","55.2000007629395"
"Czech Republic","2000","55"
"Czech Republic","1999","55.5999984741211"
"Czech Republic","1998","57"
"Czech Republic","1997","58.0999984741211"
"Czech Republic","1996","58.7999992370605"
"Czech Republic","1995","59.0999984741211"
"Czech Republic","1994","59.0999984741211"
"Czech Republic","1993","58.9000015258789"
"Czech Republic","1992","59.9000015258789"
"Czech Republic","1991","61.9000015258789"
"Denmark","2005","61.4000015258789"
"Denmark","2004","61.4000015258789"
"Denmark","2003","62.0999984741211"
"Denmark","2002","63.2999992370605"
"Denmark","2001","62.7000007629395"
"Denmark","2000","62.7999992370605"
"Denmark","1999","62.9000015258789"
"Denmark","1998","62.2000007629395"
"Denmark","1997","62.2999992370605"
"Denmark","1996","61"
"Denmark","1995","60.7000007629395"
"Denmark","1994","59.2999992370605"
"Denmark","1993","60.0999984741211"
"Denmark","1992","61.9000015258789"
"Denmark","1991","61.9000015258789"
"Finland","2005","56"
"Finland","2004","55.7999992370605"
"Finland","2003","55.4000015258789"
"Finland","2002","56"
"Finland","2001","55.9000015258789"
"Finland","2000","55.2999992370605"
"Finland","1999","54.7000007629395"
"Finland","1998","53.2000007629395"
"Finland","1997","52.4000015258789"
"Finland","1996","51.2999992370605"
"Finland","1995","50.9000015258789"
"Finland","1994","50.0999984741211"
"Finland","1993","50.7999992370605"
"Finland","1992","54.2999992370605"
"Finland","1991","58.7000007629395"
"France","2005","49.2999992370605"
"France","2004","49.2999992370605"
"France","2003","49.2999992370605"
"France","2002","50.0999984741211"
"France","2001","49.9000015258789"
"France","2000","49.2000007629395"
"France","1999","48.2000007629395"
"France","1998","48"
"France","1997","47.5999984741211"
"France","1996","48"
"France","1995","48"
"France","1994","47.5"
"France","1993","48.2999992370605"
"France","1992","49"
"France","1991","49.5"
"Germany","2005","51.5"
"Germany","2004","52"
"Germany","2003","52"
"Germany","2002","52.9000015258789"
"Germany","2001","53.7000007629395"
"Germany","2000","53.7999992370605"
"Germany","1999","53.5999984741211"
"Germany","1998","53.4000015258789"
"Germany","1997","52.7999992370605"
"Germany","1996","53.0999984741211"
"Germany","1995","53.4000015258789"
"Germany","1994","53.4000015258789"
"Germany","1993","54"
"Germany","1992","55.0999984741211"
"Germany","1991","56.2000007629395"
"Greece","2005","48.7999992370605"
"Greece","2004","48.0999984741211"
"Greece","2003","47.9000015258789"
"Greece","2002","47.0999984741211"
"Greece","2001","46.5"
"Greece","2000","46.7999992370605"
"Greece","1999","46.5999984741211"
"Greece","1998","46.7999992370605"
"Greece","1997","46.5999984741211"
"Greece","1996","46.7999992370605"
"Greece","1995","46.5"
"Greece","1994","46.2000007629395"
"Greece","1993","45.7000007629395"
"Greece","1992","46.2999992370605"
"Greece","1991","45.7999992370605"
"Hungary","2005","45.9000015258789"
"Hungary","2004","46.5"
"Hungary","2003","47.4000015258789"
"Hungary","2002","46.7000007629395"
"Hungary","2001","46.7000007629395"
"Hungary","2000","46.5999984741211"
"Hungary","1999","46"
"Hungary","1998","44.5"
"Hungary","1997","44"
"Hungary","1996","44.0999984741211"
"Hungary","1995","44.5"
"Hungary","1994","45.2999992370605"
"Hungary","1993","46.2000007629395"
"Hungary","1992","49.4000015258789"
"Hungary","1991","48.9000015258789"
"Iceland","2005","74.4000015258789"
"Iceland","2004","74"
"Iceland","2003","72.6999969482422"
"Iceland","2002","73.0999984741211"
"Iceland","2001","74.6999969482422"
"Iceland","2000","74.6999969482422"
"Iceland","1999","74.6999969482422"
"Iceland","1998","73.4000015258789"
"Iceland","1997","71.3000030517578"
"Iceland","1996","71.9000015258789"
"Iceland","1995","72"
"Iceland","1994","70.3000030517578"
"Iceland","1993","70.3000030517578"
"Iceland","1992","71.8000030517578"
"Iceland","1991","72.4000015258789"
"Ireland","2005","59.5"
"Ireland","2004","58.7000007629395"
"Ireland","2003","57"
"Ireland","2002","57"
"Ireland","2001","56.9000015258789"
"Ireland","2000","56.5"
"Ireland","1999","54.7999992370605"
"Ireland","1998","52.2999992370605"
"Ireland","1997","49.2999992370605"
"Ireland","1996","48"
"Ireland","1995","47.0999984741211"
"Ireland","1994","45"
"Ireland","1993","44.4000015258789"
"Ireland","1992","44.4000015258789"
"Ireland","1991","44.5999984741211"
"Italy","2005","45.0999984741211"
"Italy","2004","44.7999992370605"
"Italy","2003","44.5999984741211"
"Italy","2002","44.2000007629395"
"Italy","2001","43.7999992370605"
"Italy","2000","43.0999984741211"
"Italy","1999","42.5999984741211"
"Italy","1998","42.0999984741211"
"Italy","1997","42"
"Italy","1996","42"
"Italy","1995","42"
"Italy","1994","42.5"
"Italy","1993","43.4000015258789"
"Italy","1992","44.0999984741211"
"Italy","1991","44.4000015258789"
"Japan","2005","57.9000015258789"
"Japan","2004","58.0999984741211"
"Japan","2003","57.9000015258789"
"Japan","2002","58.0999984741211"
"Japan","2001","59"
"Japan","2000","59.4000015258789"
"Japan","1999","59.9000015258789"
"Japan","1998","60.7999992370605"
"Japan","1997","61.5"
"Japan","1996","61.2999992370605"
"Japan","1995","61.4000015258789"
"Japan","1994","61.7999992370605"
"Japan","1993","62.2999992370605"
"Japan","1992","62.7000007629395"
"Japan","1991","62.5"
"Luxembourg","2005","51.4000015258789"
"Luxembourg","2004","50.9000015258789"
"Luxembourg","2003","51.5"
"Luxembourg","2002","52.5"
"Luxembourg","2001","51.7999992370605"
"Luxembourg","2000","51.9000015258789"
"Luxembourg","1999","50.7000007629395"
"Luxembourg","1998","49.5999984741211"
"Luxembourg","1997","49.5999984741211"
"Luxembourg","1996","49"
"Luxembourg","1995","48.7000007629395"
"Luxembourg","1994","50.2000007629395"
"Luxembourg","1993","50.9000015258789"
"Luxembourg","1992","51.5999984741211"
"Luxembourg","1991","51.0999984741211"
"Netherlands","2005","61"
"Netherlands","2004","61"
"Netherlands","2003","60.9000015258789"
"Netherlands","2002","61.2999992370605"
"Netherlands","2001","61.0999984741211"
"Netherlands","2000","60.7999992370605"
"Netherlands","1999","59.9000015258789"
"Netherlands","1998","58.7000007629395"
"Netherlands","1997","57.4000015258789"
"Netherlands","1996","55.7999992370605"
"Netherlands","1995","55"
"Netherlands","1994","54"
"Netherlands","1993","54"
"Netherlands","1992","54"
"Netherlands","1991","53.2999992370605"
"Norway","2005","65"
"Norway","2004","65"
"Norway","2003","63.7999992370605"
"Norway","2002","64.5999984741211"
"Norway","2001","64.9000015258789"
"Norway","2000","64.8000030517578"
"Norway","1999","64.8000030517578"
"Norway","1998","64.8000030517578"
"Norway","1997","63.5999984741211"
"Norway","1996","61.7999992370605"
"Norway","1995","60.5"
"Norway","1994","59.5999984741211"
"Norway","1993","58.7999992370605"
"Norway","1992","59.2000007629395"
"Norway","1991","59.7999992370605"
"Poland","2005","44.4000015258789"
"Poland","2004","43.9000015258789"
"Poland","2003","44"
"Poland","2002","44"
"Poland","2001","45.7000007629395"
"Poland","2000","47.0999984741211"
"Poland","1999","49.4000015258789"
"Poland","1998","50.7999992370605"
"Poland","1997","50.9000015258789"
"Poland","1996","50.7000007629395"
"Poland","1995","50.7000007629395"
"Poland","1994","51.0999984741211"
"Poland","1993","52.2999992370605"
"Poland","1992","53.2999992370605"
"Poland","1991","54.9000015258789"
"Portugal","2005","58"
"Portugal","2004","58.2999992370605"
"Portugal","2003","58.0999984741211"
"Portugal","2002","58.9000015258789"
"Portugal","2001","59.0999984741211"
"Portugal","2000","58.7000007629395"
"Portugal","1999","57.9000015258789"
"Portugal","1998","57.4000015258789"
"Portugal","1997","56.0999984741211"
"Portugal","1996","55.0999984741211"
"Portugal","1995","54.7999992370605"
"Portugal","1994","55.4000015258789"
"Portugal","1993","56.2000007629395"
"Portugal","1992","57.4000015258789"
"Portugal","1991","59.0999984741211"
"Slovakia","2005","50"
"Slovakia","2004","49"
"Slovakia","2003","50"
"Slovakia","2002","49"
"Slovakia","2001","48.9000015258789"
"Slovakia","2000","48.7999992370605"
"Slovakia","1999","50"
"Slovakia","1998","52.0999984741211"
"Slovakia","1997","52.5999984741211"
"Slovakia","1996","53.4000015258789"
"Slovakia","1995","52"
"Slovakia","1994","51.7000007629395"
"Slovakia","1993","54.5999984741211"
"Slovakia","1992","54.9000015258789"
"Slovakia","1991","55.5"
"Spain","2005","50.5"
"Spain","2004","49"
"Spain","2003","48.5"
"Spain","2002","47.4000015258789"
"Spain","2001","47"
"Spain","2000","45.9000015258789"
"Spain","1999","44.0999984741211"
"Spain","1998","42.0999984741211"
"Spain","1997","40.7999992370605"
"Spain","1996","39.9000015258789"
"Spain","1995","39.2999992370605"
"Spain","1994","38.7000007629395"
"Spain","1993","39.4000015258789"
"Spain","1992","41.5999984741211"
"Spain","1991","42.7999992370605"
"Sweden","2005","58"
"Sweden","2004","58.9000015258789"
"Sweden","2003","60"
"Sweden","2002","60.4000015258789"
"Sweden","2001","60.7000007629395"
"Sweden","2000","60"
"Sweden","1999","58.2000007629395"
"Sweden","1998","57.2999992370605"
"Sweden","1997","56.4000015258789"
"Sweden","1996","57.0999984741211"
"Sweden","1995","57.7999992370605"
"Sweden","1994","57.2000007629395"
"Sweden","1993","58"
"Sweden","1992","61.9000015258789"
"Sweden","1991","65"
"Switzerland","2005","65"
"Switzerland","2004","65.1999969482422"
"Switzerland","2003","65.1999969482422"
"Switzerland","2002","66.1999969482422"
"Switzerland","2001","66.5"
"Switzerland","2000","66.3000030517578"
"Switzerland","1999","65.9000015258789"
"Switzerland","1998","65.4000015258789"
"Switzerland","1997","64.9000015258789"
"Switzerland","1996","65.0999984741211"
"Switzerland","1995","65"
"Switzerland","1994","64.5999984741211"
"Switzerland","1993","64.3000030517578"
"Switzerland","1992","64.5999984741211"
"Switzerland","1991","65.4000015258789"
"Turkey","2005","46.7999992370605"
"Turkey","2004","46.9000015258789"
"Turkey","2003","43.5999984741211"
"Turkey","2002","44.7999992370605"
"Turkey","2001","46"
"Turkey","2000","47.2000007629395"
"Turkey","1999","49.2000007629395"
"Turkey","1998","49.7999992370605"
"Turkey","1997","49.7000007629395"
"Turkey","1996","51"
"Turkey","1995","50.7999992370605"
"Turkey","1994","50.7999992370605"
"Turkey","1993","48.2999992370605"
"Turkey","1992","52"
"Turkey","1991","53"
"United Kingdom","2005","59.0999984741211"
"United Kingdom","2004","59.0999984741211"
"United Kingdom","2003","59.2999992370605"
"United Kingdom","2002","59"
"United Kingdom","2001","59"
"United Kingdom","2000","58.9000015258789"
"United Kingdom","1999","58.4000015258789"
"United Kingdom","1998","57.9000015258789"
"United Kingdom","1997","57.5999984741211"
"United Kingdom","1996","56.7999992370605"
"United Kingdom","1995","56.4000015258789"
"United Kingdom","1994","55.9000015258789"
"United Kingdom","1993","55.5999984741211"
"United Kingdom","1992","56.4000015258789"
"United Kingdom","1991","57.9000015258789"
"United States","2005","62.7999992370605"
"United States","2004","62.5999984741211"
"United States","2003","61.7999992370605"
"United States","2002","62.2999992370605"
"United States","2001","63.2999992370605"
"United States","2000","64.0999984741211"
"United States","1999","64"
"United States","1998","63.7999992370605"
"United States","1997","63.5"
"United States","1996","62.9000015258789"
"United States","1995","62.5999984741211"
"United States","1994","62.2000007629395"
"United States","1993","61.4000015258789"
"United States","1992","61.0999984741211"
"United States","1991","61.2999992370605"